matrix_name,non_zeroes
cavity10,76171
roadNet-PA,3083796
nlpkkt80,28192672
mac_econ_fwd500,1273389
thermomech_TK,711558
PR02R,8185136
thermal2,8580313
FEM_3D_thermal1,430740
olafu,1015156
amazon0302,1234877
adder_dcop_32,11246
mhda416,8562
rdist2,56834
olm1000,3996
webbase-1M,3105536
cant,4007383
af_1_k101,17550675
mhd4800a,102252
thermal1,574458
cop20k_A,2624331
bcsstk17,428650
raefsky2,293551
cage4,49
Cube_Coup_dt0,124406070
mcfe,24382
west2021,7310
ML_Laplace,27582698
lung2,492564
af23560,460598
dc1,766396
